"","origLine","wordsToPredictBy","wordNoToTest","testWord","prediction1","prediction2","prediction3","prediction4","prediction5","prediction6","prediction7","prediction8","prediction9","prediction10","timeToPredict","Correct"
"716","Some people know, others don't, but both me and my son were in mental hospitals within about the last 30 days. I had only been out for 2 days before he went in. Is it because of life issues or medication issues, or both? It feels like only I am asking that question. I don't feel good and I am not sure why. I have lots of guesses.","some people know others dont but both",8,"me","know","think","get","want","need","like","time","really","worry","believe",0.0499999999956344,FALSE
"717","Emboldened by my success, I started eying the steep slope in our Batangas property. I shook my head, No it’s too crazy, that slope is too steep. But I couldn’t resist the challenge. I thought to myself, I can easily stop the bike once it reaches the garage. I’ll just put my foot down. I went up the slope and rode my bike. It was so fun until I needed to stop. I put my foot down, but the friction between my tsinelas and the ground destroyed my tsinelas. I used my other foot to stop the bike, but my other tsinelas was destroyed. I was barefoot. Without my tsinelas, I knew that if I put my foot down, the ground would cut through my skin. The bike was going faster and faster as I went down the slope. I was afraid that I would go straight to the talahib an area where snakes waited.","emboldened by my success i started eying the steep slope in our batangas property i shook my head no it’s too crazy that slope",25,"is","neighborhood","afraid","rode","steep","batangas",NA,NA,NA,NA,NA,0.0100000000020373,FALSE
"718","I have no idea why this would be worth documenting except that there are always piles of laundry in my house. Perhaps it has become an integral part of what makes a place ""home"". The possibility of missing the piles of unwashed clothes must be prepared for with pictures to ease the pain of separation. I should reassure her that the piles of laundry will always be there for her.","i have no idea why this would be worth documenting except that there are always piles of laundry in my house perhaps it has become an integral part of what makes a place home the possibility of missing the piles of unwashed",43,"clothes","clothes",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0200000000040745,TRUE
"719","Who woulda thunk it?","who woulda",3,"thunk","thunk",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0199999999967986,TRUE
"720","Tried to get up early Tuesday morning, managed to convince myself to sleep in a little, haha.","tried to get up early tuesday morning",8,"managed","good","will","school","much","really","im","morning","god","world","came",0.0299999999988358,FALSE
"721","""We meet again, Watcher,"" said the Doctor.","we meet again",4,"watcher","back","new","us","later","man","along","hope","wonderful","person","lord",0.0400000000008731,FALSE
"722","Zechariah 14:3-4; “Then shall the LORD go forth, and fight against those nations, as when he fought in the day of battle. 4 ¶ And his feet shall stand in that day upon the mount of Olives, which is before Jerusalem on the east, and the mount of Olives shall cleave in the midst thereof toward the east and toward the west, and there shall be a very great valley; and half of the mountain shall remove toward the north, and half of it toward the south.”","zechariah “then shall the lord go forth and fight against those nations as when he fought in the day of battle � and his feet shall stand in that day upon the mount of olives which is before jerusalem on the east and the mount of olives shall cleave in the midst thereof toward the east and toward the west and there shall be a very great valley and half of the",73,"mountain","most","world","year","best","day","night","first","time","way","things",0.0400000000008731,FALSE
"723","""Translation"" by Dr Eyescope - to be taken with a grain of salt...","translation by dr eyescope to",6,"be","taken",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0299999999988358,FALSE
"724","For one month practice being a supporter. You can do it… you know why? Because you’re a Supermom! You’ve got this; you’re in control of your emotions and you’re going to start spreading a little, extra positivity in the world! (Not to mention that you’ll be setting a great example for the kids to follow too. I’m working on this as a way to get the Munchkins to stop fighting with and tattling on each other all the time. Because frankly, their fighting and tattling drives me FREAKIN’ CRAZY!)","for one",3,"month","of",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,FALSE
"725","Work on the arch had started at Buckingham Palace in the mid 1820s and it was completed by 1833. It was originally moved to replace Cumberland Gate as the new entrance to Hyde Park and to complement Decimus Burton’s arch at Hyde Park Corner. Successive roadworks in the 20th century, however, left it in its current position.","work on the arch had started at buckingham palace in the mid s and it was",17,"completed","the","not","so","just","all","very","because","really","one","already",0.0199999999967986,FALSE
"726","Lost the need…","lost",2,"the","friends","forever","now","time","look","series","world","city","cause","everything",0,FALSE
"727","A stunning and intricate beer, combining and contrasting the hoppiness of a Double IPA with the nutty aromatic caffeine hit of strong coffee. Stimulating.","a",2,"stunning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"728","Chit-chatting with her while she was picking up groceries picked me a bit as well.","chitchatting with her",4,"while","on",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE
"729","I was in High School…a freshman to be exact. It was a Saturday evening, and it was really late. I was in Marching Band and we had a competition that night. We didn’t get back to the school until around Midnight. My best friend at the time had an older sister that drove, so she offered to take me home to save my Mom a trip at 12:30 in the early morning.","i was in high school�a freshman to be exact it was a saturday evening and it was really late i was in marching band and we had a competition that night we didn’t get back to the school until around midnight my best friend at the time had an older sister that",53,"drove","made","born","guy","cleaning","shall","nervous","former","drove","fighting","yarn",0.0299999999988358,TRUE
"730","In the fourteen years I spent at three universities in the 60s/70s I acquired a store of memories that resembles Kevin MacDonald’s, if at a greater distance from the radical Jewish milieu. I too perceived the radical politics, feelings of separateness and alienation, attitude of moral and intellectual superiority, hostility to Western cultural institutions, ethnic paranoia and bunker mentality, disdain for capitalism, generic tendency to impute and then combat perceived racism and fascism, disputatiousness and intellectual sophistry, negative attitudes toward Christianity, positive attitudes toward psychoanalysis and Marxism. I too had charismatic Jewish professors with a leftist view of European and American history.","in the fourteen years i spent at three universities in the ss i acquired a store of memories that resembles kevin macdonald’s if at a greater distance from the radical jewish milieu i too perceived the radical politics feelings of",41,"separateness","toward","patient","confusion","hurt","isolation","immense","selfdoubt",NA,NA,NA,0.0500000000029104,FALSE
"731","Some people play paintball to get a paintball game. Paintball has become rapidly more aggressive since it's invention. Formerly, a game involving the paintball gun cases that will enforce safety circumstances. Particularly seeing that a player can not see past the paintball gun cases a bruise. Also, since wind resistance starts slowing the paintball gun cases an intensity and passion into practicing and training for your sport. Develop a regular schedule of practice for paintball. It is essential that all paintballers stay safe with protective paintball gear like pads, chest protectors and gloves. Each paintball game starts with a large area of paintballs. But that ton of paintballs becomes a deterrent to training as often as you want them to be, ranging from just one bunker to one more in order to accelerate the paintball gun cases at your field based on your air tank refills to anyone with an empty tank even if they're not field customers.","some people play paintball to get a paintball game paintball has become rapidly more aggressive since its invention formerly a game involving the paintball gun cases that will enforce safety circumstances particularly seeing that a player can not see past the paintball gun cases a bruise also since wind resistance starts slowing the paintball gun cases an intensity and passion into practicing and training for your sport develop a regular schedule of practice for paintball it is essential that all paintballers stay safe with protective paintball gear like pads chest protectors and gloves each paintball game starts with a large area of paintballs but that ton of paintballs becomes a deterrent to training as often as you want them to be ranging from just one bunker to one more in order to accelerate the paintball gun cases at your field based on your air tank",146,"refills","times","even","found","looking","completely","tops","everyone","gas","refills",NA,0.0100000000020373,TRUE
