"","origLine","wordsToPredictBy","wordNoToTest","testWord","prediction1","source1","prediction2","source2","prediction3","source3","prediction4","source4","prediction5","source5","prediction6","source6","prediction7","source7","prediction8","source8","prediction9","source9","prediction10","source10","timeToPredict","Correct"
"171","Note that we plotted WKU first, followed by other member Sun Belt institutions. After that, the remaining Kentucky schools went on. Beyond that, I left it up to my son to ask questions and pick states until the session ended. This morning, he rolled out of bed, and his first words to me were, “What about Rhode Island?” So, we put URI’s baby blue and Providence’s black on the map before breakfast.","note that we plotted wku first followed by other member sun belt institutions after that the remaining kentucky schools went on beyond that i left it up to my son to ask questions",34,"and","and","4","questions","41C","ask","52J","and","31A","ask","42F","trying","3","and","3","questions","32B","questions","32C","lot","31B",0.339999999996508,TRUE
"172","3 TBLS sugar","tbls",2,"sugar","sugar","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0200000000040745,TRUE
"173","I know I posted this picture a while back, but I didn’t write what I was thinking or I tried to post with my iPhone and the text didn’t show up. Anyway, here’s what I was thinking when I snapped the photo.","i know i posted this picture a while back but i didn’t write what i was thinking or i tried to post with my iphone and the text didn’t",30,"show","text","42F","the","31B","at","31B","ring","21","the","21","all","21","good","21","bottom","21","world","32C","way","32C",0.220000000001164,FALSE
"174","Butter for the dish and frying","butter for the dish and",6,"frying","and","41C","grated","4","frying","4","dish","42F","grated","3","frying","3","and","32B","grated","31B","frying","31B","and","31B",0.279999999998836,TRUE
"175","Now, if I could just get those yellow and orange yarns. I wonder if the mailman has come yet?","now if i",4,"could","just","4","could","31B","could","4","i","31B","believe","31A","still","31A","that","31A","could","31A","why","31A","could","3",0.110000000000582,TRUE
"176","Perception According to Sankhya Philosophy","perception",2,"according","according","2","reality","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0299999999988358,TRUE
"177","I quickly feel the unmistakeable snapping of ribs. My instant reaction is to let off the pressure but I know what has to be done. I continue to pound away while the doctor and nurses scramble with heart stimulating drugs and paddle shocks. Minutes seem like hours as I stare into his eyes, hoping to see a glimmer of consciousness. 15 minutes...25 minutes...35 minutes...","i quickly feel the unmistakeable snapping of ribs my instant reaction is to let off the pressure but i know what has to be done i continue to pound away while the doctor",34,"and","and","4","and","31A","the","42F","adric","3","and","3","the","32C","adric","2","nurses","2","burns","31B","and","31B",0.259999999994761,TRUE
"178","Meanwhile in the East. The Indonesian Teen model Manohara, whom married to the Malaysians Princes Tengku Muhammad Fakhry Petra (at the age of 14, -now 18’teen), is inspiring new depths between those old national wounds of Indonesia and Malaysia.","meanwhile in the east the indonesian",7,"teen","teen","3","teen","2","indonesian","31B","the","42F","teen","32A","the","32C","first","42E","short","42E","fears","42E","groom","32B",0.280000000013388,TRUE
"179","Money Concepts International, Palm Gardens, Florida","money concepts international palm gardens",6,"florida","florida","3","florida","2","florida","21","gardens","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.179999999993015,TRUE
"180","1995 – 2000: Around this time I developed asthma. I suppose that’s what all those bronchitis bouts were leading up to. Don’t worry. If you get this, the medications are very good now and you won’t be left like Che Guevara – alone and infirm in a tent, breathing into an empty, paper bag.","– around this time i developed asthma i suppose that’s what all those bronchitis bouts were leading up to don’t worry if you get this the medications are very good now and you won’t be left like che guevara – alone",42,"and","always","2","infirm","2","lord","2","heal","2","these","2","there","2","world","2","will","2","one","2","fullyfledged","2",0.119999999995343,FALSE
"181","Today, it’s Summer.","today it’s",3,"summer","like","21","god","21","many","21","first","21","tried","21","went","21","jan","21","cant","21","cafe","21","continue","21",0.0299999999988358,FALSE
"182","My parents have had the same phone number since I was two years old, which means it's been the same number for a very long time.","my parents have had the same phone number since i was two years old which means its been the same number for a very",25,"long","time","4","very","41C","long","31A","a","42F","long","4","very","32C","male","32B","very","32B","day","3","time","3",0.270000000004075,TRUE
"183","Audi’s Q3 is an interesting proposition. It’s aimed squarely at the BMW X1 and offers decent performance from a range of small petrol and diesel engines. Combining sporty premium SUV features in a compact body, the Q3 range starts at R370,000. It looks a little ordinary but its strength will be in ride, road holding and luxury interior. In a move that is most unlike Audi, there are some really funky colours available for the Q3. Google “Samoa Orange” if you don’t believe me.","audi’s q is an interesting proposition it’s aimed squarely at the bmw x and offers decent performance from a range of small petrol and diesel engines combining sporty premium suv features in a compact body the q range starts at r it looks a little ordinary but its strength will be in ride road holding and luxury interior in",60,"a","a","4","move","3","a","31A","a","31B","interior","32C","a","3","in","31B","of","21","a","21","in","21",0.279999999998836,TRUE
"184","I also purchased various dried herbs- these are often served on a Greek salad and mixes for making authentic tzatziki. And of course some real Feta cheese. Rich and creamy, salty, moist and slightly sour, semi-solid and certainly not hard and tasteless like you often find here.","i also purchased",4,"various","extra","2","a","2","various","2","home","31B","used","31B","guzzling","31B","planning","31B","su","31B","to","31B","a","31B",0.0800000000017462,TRUE
"185","Meanwhile, Greene was acting her heart out, doing the best she could with the character of a burned-out, child-like brown-acid-victim, who hysterically confesses to crimes she hasn’t committed in order to pad out the plot… but her refusal to burst into song, or call upon the “Pie Hole” gang to help solve the case definitely counts against her here. It was kinda cool to see her dressed as a hippie-ish “rock chick” though… more of that, please! Martin just seemed to be irritated by everyone and everything she encountered… presumably because she knows she’s the heroine of a murder mystery story, who can’t actually solve murder mysteries. That must be quite frustrating for her. Siemaszko was mostly there to react to exposition, but she managed to keep things fairly lively, so a tip of the hat to her for that… and I enjoyed Tina Lifford’s turn as ‘Bonnie’, the kindly owner of the B&B where the main characters take their regular coffee breaks. Other than that, everything was pretty yawn-worthy…","meanwhile greene was acting her heart out doing the best she could with the character of a burnedout childlike brownacidvictim who hysterically confesses to crimes she hasn’t committed in order to pad out the plot� but her refusal to burst into song or call upon the “pie hole” gang to help solve the case definitely counts against her here it was kinda cool to see her dressed",68,"as","a","4","a","3","as","31A","her","42F","much","41C","as","4","as","3","a","2","up","2","much","31B",0.330000000001746,TRUE
