"","origLine","wordsToPredictBy","wordNoToTest","testWord","prediction1","source1","prediction2","source2","prediction3","source3","prediction4","source4","timeToPredict","Correct"
"268","So onto our Spotlight this week, we loved visiting your blogs to see your weather themed creations. This week the spotlight has fallen on.....Lisa C with this beautiful creation!","so onto our spotlight this week we loved visiting your blogs to see your weather themed creations this week the spotlight has fallen",24,"onlisa","c","3","fallen","31B","onlisa","3","and","32C",0.479999999995925,TRUE
"269","On May 23, 2012, let Alleigh know your wine choice by:","on may let alleigh know your wine",8,"choice","by","3","library","31B","wine","31B","your","32C",0.440000000002328,FALSE
"270","Homosexuals have chosen the word “gay,” a word that means “happy” or “a lively, merry mood” or “bright, showy,” to describe their lifestyle. In homosexuality’s portrayal in the media and in its publicity by its advocates, that’s what it can appear to be. A fun-loving, free lifestyle. Yet this is only a mirage. Over the years, in every interaction I have had with a person calling their lifestyle “gay,” that same angry fire that my bookstore acquaintance had could be seen in their eyes . Whether it’s been a one-time opportunity to interact with someone who has identified himself as gay or the longer-term weekly counseling of a man who claimed hundreds of partners (and looked as if it were true), a below-the-surface, seething anger has always been present.","homosexuals have chosen the word “gay” a word that means “happy” or “a lively merry mood” or “bright showy” to describe their lifestyle in homosexuality’s portrayal in the media and in its publicity by its advocates that’s what it can appear to be a funloving free lifestyle yet this is only a mirage over the years in every interaction i have had with a person calling their lifestyle “gay” that same angry fire that my bookstore acquaintance had could be seen in their eyes whether it’s been a onetime opportunity to interact with someone who has identified himself as gay or the longerterm weekly counseling of a man who claimed hundreds of",113,"partners","of","31B","partners","3","infant","3","hundreds","32C",0.549999999995634,TRUE
"271","The less you can explain the questions of your purpose and existence the more you come up with a ridiculous analysis for life and your left with no reason for existing or for life at all. The cycle continues. The more hateful against anything good and morally right you get. The more you hate those stupid Christians that claim God exists and that say there is a reason and purpose for your life .","the less you can explain the questions of your purpose and existence the more you come up with a ridiculous analysis for life and your left with no reason for existing or for life at all the cycle continues the more hateful against anything good and morally right you get",51,"the","the","4","the","31A","the","31B","you","32C",0.580000000001746,TRUE
"272","During most races we see the mechanics make adjustments to the car during pitstops. During each stint radio communications between the driver and his race engineer will discuss the cars balance. Whether the car tends to oversteer or understeer. Since the ban on active technologies there’s little the teams can do to alter the car during the race. Currently only front wing adjustment, rear wing gurney removal and tyre pressures are easily changed during the hectic 3-4s pitstops.","during most races we see the mechanics make adjustments to the car during pitstops during each stint radio communications between the driver and his race engineer will discuss the cars balance whether the car tends to oversteer or understeer since the",42,"ban","the","31B","since","32C","on","3","is","3",0.510000000002037,FALSE
"273","They’ve both been hurt too much already, and there isn’t much to say.","they’ve",2,"both",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"274","I wanted to go with a vintage theme for Mum. Not saying she is old though! Just wanted something a bit nostalgic. It also took me out of my own comfort zone, as I don't normally do vintage! I loved using the Hat Pin (retired), and I have also used the Velvet Ribbon available in the new Summer Mini Catalogue. I didn't want cream though and dyed this ribbon, using my Night of Navy ink pad. I was surprised how beautifully this ribbon dyed up! Not at all patchy as I thought it would.","i wanted to go with a vintage theme for mum not saying she is old though",17,"just","just","4","just","3","though","41C","old","42F",0.620000000002619,TRUE
"275","When will the school district force Frank’s hand?","when will the school district force",7,"frank’s","force","21","and","32C","making","32C","until","32C",0.470000000001164,FALSE
"276","“We have come to the conclusion we were snookered by Fox News and tea party activist Andrew Breitbart into believing she had harmed white farmers because of racial bias,” Jealous said in the statement.","“we have come to the conclusion we were snookered by fox news",13,"and","tea","4","tea","3","and","31A","and","31B",0.529999999998836,TRUE
"277","The HIPS (Humans In Poverty Situations) are those at the bottom of the working society, those in shitty jobs in which you have to smile and pretend you're enjoying yourself in return for shitty money.","the hips humans in poverty situations are those at the bottom of the working society",16,"those","we","31A","society","31B","i","42F","my","32B",0.529999999998836,FALSE
"278","On the back are the words of Psalm 95:4: ‘Porque en su mano están las profundidades de la tierra, y las alturas de los montes son suyas’ (In his hand are the depths of the earth; the heights of the mountains are his also). The text at the bottom reads ‘To him is the honor and the glory’.","on the back are the words of psalm ‘porque en su mano est�n las profundidades de la tierra y las alturas de los montes son suyas’ in his hand are",31,"the","the","5","the","4","the","41A","the","41B",0.849999999998545,TRUE
"279","“She loves it. She has a love/hate relationship with spaghetti. But like most of us, she gives in to her heart and indulges, in spite of the bunching and bloating.”","“she loves it she has a lovehate relationship with spaghetti but like most of us she gives in to her heart and indulges in spite of the bunching and",30,"bloating”","and","41C","and","31B","and","32B","the","41B",0.580000000001746,FALSE
